,Date,Year,Month,Place,Area,Location,Activity,Sex,Fatal
0,2016.09.18,2016,09,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1,2016.09.18,2016,09,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
2,2016.09.18,2016,09,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
3,2016.09.17,2016,09,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,0
4,2016.09.15,2016,09,AUSTRALIA,Victoria,Bells Beach,Surfing,M,0
5,2016.09.15,2016,09,AUSTRALIA,Western Australia,Bunbury,Fishing,,0
6,2016.09.11,2016,09,USA,Florida,"Ponte Vedra, St. Johns County",Others,M,0
7,2016.09.07,2016,09,USA,Hawaii,"Makaha, Oahu",Swimming,F,0
8,2016.09.06,2016,09,NEW CALEDONIA,North Province,Koumac,Surfing,M,1
9,2016.09.05,2016,09,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Others,F,0
10,2016.09.05,2016,09,AUSTRALIA,Western Australia,Injidup,Surfing,M,0
11,2016.09.04,2016,09,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
12,2016.09.01,2016,09,USA,California,"Refugio State Beach, Santa Barbara County",Fishing,M,0
13,2016.08.29,2016,08,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
14,2016.08.29,2016,08,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
15,2016.08.27,2016,08,REUNION,,Boucan Canot,Surfing,M,0
16,2016.08.25,2016,08,USA,Florida,"Ponte Vedra, St. Johns County",Others,M,0
17,2016.08.07,2016,08,BAHAMAS,New Providence Island,Nassau,Others,M,0
18,2016.08.06,2016,08,USA,Hawaii,Maui,Others,M,0
19,2016.08.04,2016,08,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
20,2016.07.29,2016,07,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,0
21,2016.07.28,2016,07,CHINA,Hong Kong,,Swimming,M,0
22,2016.07.28,2016,07,AUSTRALIA,Western Australia,Near Albany,Others,M,0
23,2016.07.27,2016,07,USA,Florida,"Florida Keys, Monroe County",Others,M,0
24,2016.07.26,2016,07,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,0
25,2016.07.24,2016,07,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,0
26,2016.07.23,2016,07,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,0
27,2016.07.23,2016,07,BAHAMAS,Abaco Islands,Green Turtle Cay,Fishing,M,0
28,2016.07.20,2016,07,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,0
29,2016.07.17,2016,07,USA,Alabama,8 miles off Mobile,Fishing,,0
30,2016.07.16,2016,07,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,0
31,2016.07.16,2016,07,USA,Florida,"New Smyrna Beach, Volusia County",Others,F,0
32,2016.07.15,2016,07,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,0
33,2016.07.14.4,2016,07,BAHAMAS,,Tiger Beach,Diving,M,0
34,2016.07.08,2016,07,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Others,F,0
35,2016.07.08,2016,07,USA,California,"Capitola, Santa Cruz County",Fishing,M,0
36,2016.07.07,2016,07,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,0
37,2016.07.07,2016,07,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing,M,0
38,2016.07.06,2016,07,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,0
39,2016.07.04,2016,07,AUSTRALIA,Queensland,Palm Cove,Fishing,M,0
40,2016.06.27,2016,06,USA,South Carolina,Sullivan's Island,Others,M,0
