,Date,Year,Month,Place,Area,Location,Activity,Sex,Fatal
489,2012.12.31,2012,12,USA,Florida,"Jensen Beach, Martin County",Swimming,M,0
490,2012.12.30,2012,12,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,M,0
491,2012.12.28,2012,12,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",Others,M,0
492,2012.12.25,2012,12,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,1
493,2012.12.19,2012,12,AUSTRALIA,Western Australia,Trigg Beach,Surfing,M,0
494,2012.12.05,2012,12,USA,Hawaii,Kauai,Surfing,M,0
495,2012.12.02,2012,12,AUSTRALIA,New South Wales,Green Island,Fishing,M,0
496,2012.12.00,2012,12,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Diving,F,0
497,2012.11.30,2012,11,USA,Hawaii,"Kihei, Maui",Others,M,0
498,2012.11.27,2012,11,AUSTRALIA,Queensland,Mooloolaba,Others,M,0
499,2012.11.22,2012,11,MEXICO,Sinaloa,Nuevo Altata,Swimming,M,1
500,2012.11.19,2012,11,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,0
501,2012.11.04,2012,11,USA,Hawaii,"Makena Landing, Maui",Diving,M,0
502,2012.11.04,2012,11,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,0
503,2012.10.30,2012,10,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,M,0
504,2012.10.27,2012,10,USA,Hawaii,"Makena Landing, Maui",Swimming,F,0
505,2012.10.23,2012,10,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,1
506,2012.10.19,2012,10,USA,Florida,"Seaport, Brevard County",Others,F,0
507,2012.10.18,2012,10,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,0
508,2012.10.18,2012,10,USA,Hawaii,"Kanaha Beach, Maui",Others,M,0
509,2012.10.16,2012,10,USA,Florida,Hobe Sound,Others,M,0
510,2012.10.11,2012,10,NIGERIA,Delta,Oboro,Others,F,0
511,2012.10.07,2012,10,USA,California,"Davenport Landing, Santa Cruz County",Surfing,M,0
512,2012.10.02,2012,10,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Others,M,0
513,2012.09.25,2012,09,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,0
514,2012.09.24,2012,09,USA,Florida,"Spanish House Beach, Brevard County",Surfing,M,0
515,2012.09.16,2012,09,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,0
516,2012.09.10,2012,09,TONGA,Vava'u,Eueiki Island,Swimming,F,0
517,2012.09.09,2012,09,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,,0
518,2012.09.08,2012,09,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,M,0
519,2012.09.08,2012,09,USA,Florida,"South Beach, Miami-Dade County",Swimming,M,0
520,2012.09.06,2012,09,USA,Florida,"Neptune Beach, Duval County",Surfing,M,0
521,2012.09.06,2012,09,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,M,0
522,2012.09.04,2012,09,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,0
523,2012.09.02,2012,09,USA,Florida,"New Smyrna Beach, Volusia County",Others,F,0
524,2012.09.02,2012,09,USA,Hawaii,"Spreckelsville, Maui",Fishing,,0
525,2012.09.02,2012,09,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,0
526,2012.08.31,2012,08,UNITED KINGDOM,Inner Hebrides,Off the Isle of Islay,Fishing,M,0
527,2012.08.28,2012,08,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,Surfing,M,0
528,2012.08.26,2012,08,BRAZIL,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,M,1
529,2012.08.15,2012,08,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,0
530,2012.08.11,2012,08,AUSTRALIA,Western Australia,Ocean Reef,Fishing,,0
531,2012.08.09,2012,08,USA,Florida,Key Largo,Diving,M,0
532,2012.08.05,2012,08,REUNION,Saint Leu,,Surfing,M,0
533,2012.08.04,2012,08,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Fishing,M,0
534,2012.07.31,2012,07,USA,California,"Topanga Beach, Los Angeles County",Surfing,M,0
535,2012.07.31,2012,07,AUSTRALIA,South Australia,Streaky Bay,Surfing,M,0
536,2012.07.30,2012,07,USA,Hawaii,"Maha‘ulepu Beach, Kauai",Surfing,M,0
537,2012.07.30,2012,07,USA,Massachusetts,"Ballston Beach, Truro, Cape Cod",Surfing,M,0
538,2012.07.24,2012,07,USA,North Carolina,"Ocean Isle, Brunswick County",Others,M,0
539,2012.07.23,2012,07,REUNION,Trois-Bassins,,Surfing,M,1
540,2012.07.21,2012,07,TRINIDAD & TOBAGO,Trinidad,"Off Radix Village, Mayoro County",Swimming,M,1
541,2012.07.19,2012,07,CANADA,British Colombia,"Tofino, Vancouver",Surfing,F,0
542,2012.07.14,2012,07,AUSTRALIA,Western Australia,Off Wedge Island,Surfing,M,1
543,2012.07.08,2012,07,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,F,0
544,2012.07.07,2012,07,BAHAMAS,Eleuthera,,Fishing,M,0
545,2012.07.07,2012,07,AUSTRALIA,Victoria,Ship's Graveyard off Point Lonsdale,Diving,F,1
546,2012.07.07,2012,07,USA,California,"Pleasure Point, Santa Cruz County",Others,M,0
547,2012.07.06,2012,07,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,0
548,2012.06.28,2012,06,CROATIA,,Buccari Bay,Swimming,,0
549,2012.06.26,2012,06,USA,Florida,"Juno Beach, Palm Beach County",Swimming,M,0
550,2012.06.26,2012,06,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
551,2012.06.26,2012,06,USA,Hawaii,"Kahana Beach, Maui",Others,F,0
552,2012.06.22,2012,06,AUSTRALIA,Tasmania,South Cape Bay,Surfing,M,0
553,2012.06.22,2012,06,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,0
554,2012.06.20,2012,06,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Surfing,M,0
555,2012.06.19,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Others,M,0
556,2012.06.18,2012,06,USA,North Carolina,"Ocean Isle, Brunswick County",Others,F,0
557,2012.06.15,2012,06,USA,Florida,"Summerland Key, Monroe County",Fishing,M,0
558,2012.06.14,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,0
559,2012.06.14,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,0
560,2012.06.14,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,0
561,2012.06.14,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,0
562,2012.06.12,2012,06,AUSTRALIA,Victoria,Port Campbell,Surfing,M,0
563,2012.06.10,2012,06,ITALY,Sardinia,Muravera,Others,M,0
564,2012.06.03,2012,06,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Surfing,M,0
565,2012.06.02,2012,06,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,0
566,2012.06.02,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Others,M,0
