city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent_amount,property_tax,fire_insurance,total
Porto Alegre,80,1,1,1,6,1,0,1000,2800,0,41,3841
Porto Alegre,51,2,1,0,2,1,0,270,1112,22,17,1421
Porto Alegre,38,1,1,2,11,0,0,450,1750,0,26,2226
Porto Alegre,40,1,1,1,6,1,1,390,2990,0,44,3424
Porto Alegre,42,1,1,2,2,1,1,190,1770,17,26,2003
Porto Alegre,75,3,2,1,9,1,0,340,1800,109,27,2276
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33,2633
Porto Alegre,100,4,3,1,8,1,0,600,2200,159,33,2992
Porto Alegre,350,4,4,4,0,1,1,1,9000,359,160,9520
Porto Alegre,70,3,2,1,4,1,0,490,2500,8,37,3035
Porto Alegre,50,1,1,1,1,1,0,350,950,50,14,1364
Porto Alegre,67,3,2,2,4,1,0,600,2200,50,33,2883
Porto Alegre,70,2,1,1,3,1,1,360,2400,30,36,2826
Porto Alegre,62,2,2,1,9,1,0,350,1800,75,27,2252
Porto Alegre,44,1,1,1,2,1,1,250,1500,17,22,1789
Porto Alegre,90,2,1,1,2,0,0,550,1700,110,25,2385
Porto Alegre,140,3,4,2,0,0,0,0,3090,0,55,3145
Porto Alegre,36,1,1,1,0,1,0,0,762,15,14,791
Porto Alegre,39,1,1,0,7,1,0,350,850,27,13,1240
Porto Alegre,60,2,1,0,1,1,0,222,1100,46,17,1385
Porto Alegre,46,1,1,0,4,1,0,0,1040,48,16,1104
Porto Alegre,76,1,1,0,0,1,0,209,1249,52,19,1529
Porto Alegre,64,2,2,2,7,0,0,450,1500,50,22,2022
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33,2633
Porto Alegre,50,2,1,0,13,1,0,340,1130,30,17,1517
Porto Alegre,90,3,1,0,1,1,0,145,1130,55,17,1347
Porto Alegre,94,2,2,2,8,1,0,600,2900,230,43,3773
Porto Alegre,131,3,3,1,10,1,1,1625,1750,121,26,3522
Porto Alegre,300,6,2,2,0,1,0,0,6000,242,107,6349
Porto Alegre,64,2,2,2,7,1,0,450,1600,34,24,2108
Porto Alegre,96,3,2,0,2,1,0,408,2100,84,31,2623
Porto Alegre,92,2,2,1,2,1,0,450,1700,67,25,2242
Porto Alegre,28,2,1,1,0,1,0,0,600,0,11,611
Porto Alegre,44,1,1,0,5,1,0,355,1200,20,18,1593
Porto Alegre,37,1,1,1,2,1,0,500,2500,0,37,3037
Porto Alegre,35,1,1,0,1,1,0,100,815,17,12,944
Porto Alegre,48,1,1,0,4,1,0,200,700,38,11,949
Porto Alegre,25,1,1,0,0,1,1,286,984,11,15,1296
Porto Alegre,49,2,1,1,7,1,0,360,1150,30,17,1557
Porto Alegre,40,1,1,0,4,0,1,0,2000,0,30,2030
Porto Alegre,120,3,3,2,5,1,0,800,3000,167,44,4011
Porto Alegre,60,2,2,1,11,1,0,469,1500,51,22,2042
Porto Alegre,43,1,1,0,4,0,1,290,2100,66,31,2487
Porto Alegre,90,2,1,1,2,1,0,405,1100,380,17,1902
Porto Alegre,84,3,2,2,4,1,0,750,3300,100,49,4199
Porto Alegre,47,1,1,0,2,0,0,300,1000,59,15,1374
Porto Alegre,60,2,1,1,3,1,0,250,800,22,12,1084
Porto Alegre,55,1,1,0,14,1,0,700,1020,29,15,1764
Porto Alegre,52,1,1,0,0,1,0,150,1200,42,18,1410
Porto Alegre,70,2,2,1,6,1,0,440,1900,57,28,2425
Porto Alegre,38,1,1,0,2,1,0,340,650,350,10,1350
Porto Alegre,88,1,2,2,3,1,0,340,1600,40,24,2004
Porto Alegre,61,2,2,2,11,1,0,445,2500,42,37,3024
Porto Alegre,62,2,1,0,4,1,0,352,736,28,11,1127
Porto Alegre,360,3,4,3,5,1,1,4000,13200,500,193,17890
Porto Alegre,440,3,3,3,7,0,0,100,10500,84,154,10840
Porto Alegre,125,4,2,0,7,1,0,1006,1632,150,14,2802
Porto Alegre,350,3,2,4,0,1,1,0,6522,492,116,7130
Porto Alegre,350,4,4,4,0,1,0,0,6000,192,107,6299
Porto Alegre,110,3,3,2,5,1,1,1300,4000,300,59,5659
Porto Alegre,106,3,3,1,7,1,0,900,2250,186,33,3369
Porto Alegre,101,2,2,2,5,1,0,480,1800,500,27,2807
Porto Alegre,70,2,1,0,1,1,0,375,750,26,11,1162
Porto Alegre,152,3,5,3,9,1,0,1600,6000,321,88,8009
Porto Alegre,42,1,1,0,1,1,1,360,890,0,13,1263
Porto Alegre,550,5,5,3,0,1,0,0,9000,500,160,9660
Porto Alegre,44,1,2,0,3,1,0,140,1350,100,20,1610
Porto Alegre,105,3,2,2,3,1,1,370,2890,217,43,3520
Porto Alegre,320,4,3,2,0,1,0,0,4500,125,80,4705
Porto Alegre,64,2,1,0,1,1,0,300,1750,42,26,2118
Porto Alegre,60,2,1,0,1,1,0,326,990,25,15,1356
Porto Alegre,40,1,1,1,9,0,1,1300,1200,68,18,2586
Porto Alegre,85,3,2,2,9,0,1,940,3300,102,49,4391
Porto Alegre,30,1,1,0,4,1,0,198,755,22,12,987
Porto Alegre,100,2,2,1,0,0,0,0,1346,0,24,1370
