city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent_amount,property_tax,fire_insurance,total
Rio de Janeiro,72,2,1,0,7,1,0,740,1900,85,25,2750
Rio de Janeiro,35,1,1,0,2,1,1,590,2300,35,30,2955
Rio de Janeiro,88,2,3,1,9,0,1,1614,3500,221,16,5351
Rio de Janeiro,56,2,1,0,8,1,0,800,1220,0,16,2036
Rio de Janeiro,90,3,2,1,7,1,0,800,1800,118,24,2742
Rio de Janeiro,45,1,1,1,10,1,1,2450,2500,593,33,5576
Rio de Janeiro,90,3,3,1,10,1,0,1250,3800,147,49,5246
Rio de Janeiro,150,2,3,4,6,1,0,1700,4000,700,52,6452
Rio de Janeiro,65,1,1,1,8,1,1,2000,5100,250,66,7416
Rio de Janeiro,35,1,1,0,5,1,0,306,1521,21,20,1868
Rio de Janeiro,130,3,2,1,7,1,0,1660,1700,475,22,3857
Rio de Janeiro,80,2,1,1,20,1,0,500,900,90,12,1502
Rio de Janeiro,60,1,1,0,10,0,0,450,1800,48,24,2322
Rio de Janeiro,90,2,1,1,1,1,1,850,3468,191,45,4554
Rio de Janeiro,109,3,3,1,1,1,0,2000,3800,300,49,6149
Rio de Janeiro,309,4,5,4,7,1,0,2661,6500,682,84,9927
Rio de Janeiro,140,3,3,1,24,0,0,900,1370,100,18,2388
Rio de Janeiro,52,2,1,0,2,1,0,200,1200,43,16,1459
Rio de Janeiro,107,3,2,0,7,1,1,1460,3200,270,42,4972
Rio de Janeiro,105,3,2,0,1,1,0,740,2200,9,29,2978
Rio de Janeiro,100,3,2,0,7,1,0,900,3290,109,43,4342
Rio de Janeiro,50,1,1,0,8,1,0,600,2900,134,38,3672
Rio de Janeiro,68,2,1,0,4,0,0,750,1250,9,17,2026
Rio de Janeiro,258,5,6,0,0,1,0,0,8700,670,133,9503
Rio de Janeiro,70,2,2,1,7,1,1,585,1719,77,23,2404
Rio de Janeiro,25,1,1,0,0,1,0,50,700,0,10,760
Rio de Janeiro,170,4,5,0,10,1,0,1200,7100,639,92,9031
Rio de Janeiro,45,1,1,0,8,1,0,900,1570,98,21,2589
Rio de Janeiro,140,3,3,2,4,1,1,2280,12000,535,155,14970
Rio de Janeiro,40,1,1,0,1,1,1,386,1950,91,26,2453
Rio de Janeiro,60,1,2,1,3,1,0,400,750,80,10,1240
Rio de Janeiro,300,4,5,3,7,1,0,3850,12750,750,165,17520
Rio de Janeiro,100,3,3,1,3,1,0,850,3229,100,42,4221
Rio de Janeiro,85,3,1,1,6,1,0,810,1998,87,26,2921
Rio de Janeiro,48,1,1,0,1,0,0,626,1020,53,14,1713
Rio de Janeiro,36,1,1,0,5,1,0,350,1130,42,15,1537
Rio de Janeiro,46,2,1,0,3,0,0,270,1600,0,21,1891
Rio de Janeiro,26,1,1,0,4,0,0,390,1650,120,22,2182
Rio de Janeiro,44,1,1,0,3,1,1,400,1100,14,15,1529
Rio de Janeiro,60,2,1,1,5,1,0,690,1500,25,20,2235
Rio de Janeiro,70,2,1,1,3,1,0,800,1300,44,17,2161
Rio de Janeiro,80,3,3,1,7,0,0,1100,1470,0,19,2589
Rio de Janeiro,73,2,1,0,4,1,0,375,830,120,11,1336
Rio de Janeiro,115,3,2,1,8,1,1,1090,2680,114,35,3919
Rio de Janeiro,700,5,5,4,0,1,1,1380,15000,1667,229,18280
Rio de Janeiro,125,3,1,2,11,1,0,1317,2600,170,33,4120
Rio de Janeiro,50,2,1,0,3,0,0,490,2300,50,30,2870
Rio de Janeiro,130,3,4,1,2,0,0,1200,1400,334,19,2953
Rio de Janeiro,95,3,2,2,7,1,0,985,2300,122,30,3437
Rio de Janeiro,105,2,2,1,10,1,0,1780,1530,134,20,3464
Rio de Janeiro,53,2,1,0,3,0,0,535,1800,50,24,2409
Rio de Janeiro,110,3,1,1,1,1,0,557,5000,188,65,5810
Rio de Janeiro,73,2,1,0,1,1,0,1600,2800,204,37,4641
Rio de Janeiro,42,1,1,0,4,0,1,500,1973,79,26,2578
Rio de Janeiro,56,2,1,1,18,1,0,568,1000,88,13,1669
Rio de Janeiro,30,1,1,0,10,1,0,850,1100,60,15,2025
Rio de Janeiro,590,6,6,2,0,1,1,750,8000,975,122,9847
Rio de Janeiro,57,1,1,0,2,1,0,200,1100,10,15,1325
Rio de Janeiro,30,1,1,0,8,1,0,390,800,25,11,1226
Rio de Janeiro,129,3,2,1,8,1,1,1200,3255,167,42,4664
Rio de Janeiro,72,2,2,1,2,0,1,914,3600,133,47,4694
Rio de Janeiro,65,1,1,0,0,1,0,300,1800,30,24,2154
Rio de Janeiro,67,2,1,1,2,1,0,1217,2200,130,29,3576
Rio de Janeiro,36,1,1,0,10,1,0,450,1370,29,18,1867
Rio de Janeiro,66,2,1,1,2,1,0,650,1250,0,17,1917
Rio de Janeiro,90,2,2,0,5,1,0,830,2500,84,33,3447
