city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent_amount,property_tax,fire_insurance,total
São Paulo,70,2,1,1,7,1,1,2065,3300,211,42,5618
São Paulo,320,4,4,0,20,1,0,1200,4960,1750,63,7973
São Paulo,25,1,1,0,1,0,0,0,800,25,11,836
São Paulo,376,3,3,7,0,1,0,0,8000,834,121,8955
São Paulo,213,4,4,4,4,1,0,2254,3223,1735,41,7253
São Paulo,152,2,2,1,3,1,1,1000,15000,250,191,16440
São Paulo,26,1,1,0,2,1,1,470,2100,150,27,2747
São Paulo,36,1,1,0,11,1,0,359,2100,70,27,2556
São Paulo,55,1,1,1,2,1,1,790,4200,224,54,5268
São Paulo,100,2,2,2,24,1,1,900,4370,17,56,5343
São Paulo,110,2,2,1,1,1,0,700,3000,122,39,3861
São Paulo,600,4,5,6,0,1,0,0,12000,9500,181,21680
São Paulo,100,7,4,0,0,1,0,0,3800,118,58,3976
São Paulo,160,3,2,2,18,1,1,1530,1900,167,25,3622
São Paulo,35,1,1,0,0,1,0,0,1100,3,14,1117
São Paulo,49,1,1,1,10,1,0,480,3500,42,45,4067
São Paulo,41,1,1,1,5,0,1,600,3000,0,39,3639
São Paulo,20,1,1,0,5,1,1,602,1800,130,23,2555
São Paulo,55,2,2,2,6,1,0,780,1068,142,14,2004
São Paulo,32,1,1,0,3,1,0,515,1700,29,22,2266
São Paulo,80,2,2,1,11,1,0,1208,2550,216,33,4007
São Paulo,350,4,4,3,8,1,0,2100,4000,500,51,6651
São Paulo,30,1,1,0,1,1,0,460,1600,0,21,2081
São Paulo,70,2,1,0,0,0,0,0,1150,59,18,1227
São Paulo,300,4,6,4,20,1,0,3700,12000,1584,153,17440
São Paulo,240,3,2,3,0,1,0,0,3500,292,53,3845
São Paulo,360,4,5,0,1,1,0,4000,6410,2000,82,12490
São Paulo,40,1,1,1,10,1,1,978,2829,0,33,3840
São Paulo,45,1,2,1,15,1,1,856,3900,150,50,4956
São Paulo,60,2,1,0,2,1,0,200,1445,0,19,1664
São Paulo,31,1,1,0,4,1,0,370,2350,56,30,2806
São Paulo,210,4,5,4,4,0,0,1650,9000,772,115,11540
São Paulo,280,3,1,2,0,1,0,0,6000,113,91,6204
São Paulo,194,3,4,3,0,1,0,0,4000,70,61,4131
São Paulo,41,1,1,1,6,1,1,523,4000,131,51,4705
São Paulo,70,2,1,1,13,1,0,761,2150,67,28,3006
São Paulo,278,4,5,2,16,1,1,4052,9000,1261,115,14430
São Paulo,61,2,1,1,4,1,0,459,1850,0,24,2333
São Paulo,164,4,4,2,6,0,0,2159,5000,386,64,7609
